Class;Text
NEG;Kaip per „Nasdaq“ Vilniaus birþà praneðë grupë, per spalio mënesá bendrovë aptarnavo 3,3 tûkst. klientø – 90 proc. maþiau nei atitinkamu laikotarpiu pernai. Ið viso per sausio-spalio mënesius bendrovë aptarnavo 47,4 tûkst. klientø, 82 proc. maþiau per pernai.
NEU;Anot jo, „Eglës“ sanatorija pastaràjá pusmetá darbuotojas laikë prastovose ir tikëjosi, jog pandemija baigsis, taèiau, prasidëjus antrajai koronaviruso bangai, naujø rezervacijø skaièius sumaþëjo 90 proc.
NEG;Liepà Slovënijoje sulaikytas „Arvi“ savininkas Vidmantas Kuèinskas ðeðtadienio naktá buvo gràþintas á Lietuvà, BNS patvirtino ikiteisminiam tyrimui, kuriame verslininkas turi átariamojo statusà, vadovaujantis prokuroras Zenas Leonavièius.
NEG;Ðiemet liepà „Bolt Food“ kurjeriai buvo paskelbæ streikà dël sumaþintø pristatymo ákainiø. Tà kartà streike dalyvavo 80-100 kurjeriø, kurie atsijungë nuo platformos ir nepriiminëjo uþsakymø per pietus.
NEG;200 bendrovës „Bolt Food“ maisto kurjeriø reikalauja didesnio uþmokesèio ir stabiliø darbo sàlygø – pirmadiená ásteigta „Kurjeriø asociacija“ bendrovës vadovui Andriui Pacevièiui áteikë peticijà.
NEG;Kaip þinia, sveikatos apsaugos ministras A. Veryga yra glaudþiai susijæs su LSMU ir jo valdomomis Kauno klinikomis. Ðiose ástaigose ministras dirbo iki 2016 m., LSMU Kauno klinikose iki ðiol dirba jo sutuoktinë. Per pastaruosius ketverius metus A. Veryga net kelis kartus Vyriausiosios tarnybinës etikos komisijos buvo pripaþintas patekæs á interesø konfliktà, kaip ministras priimdamas LSMU palankius sprendimus. Ðiuos etikos sargø sprendimus yra patvirtinæ teismai.
NEG;Taèiau 10 metø trukusiame teismø maratone tiek „lenkø“, tiek „atkatø“ dalybose minimo Jaroslavo linija taip ir liko neiðnagrinëta. LRT Tyrimø skyrius pasidomëjo, koks buvo „lenkams“ atstovavusiø organizacijø ir byloje minimo Jaroslavo vaidmuo istorijoje, kurià teisësaugininkai tuo metu vadino didþiausia Lietuvoje politinës korupcijos byla. Joje L. Karnila, V. Petkevièius bei S. Raðèiauskas buvo nuteisti laisvës atëmimo bausmëmis, taèiau uþ grotø taip ir nesëdo. Realios bausmës paskirtos kyðius mokëjusioms penkioms bendrovëms bei 11 verslininkø.
NEG;Ði suma, kaip rodë teisësaugininkø informacija, tebuvo menka dalis nuo „atkato“, kurio Trakø vadovybë reikalavo ið potencialiø savivaldybës þinioje buvusio Kudrioniø poilsio komplekso pirkëjø. 2005 m. pradëtos pardavinëti bazës vaizdingoje vietoje pradinë kaina buvo 2,7 mln. litø (783 tûkst. eurø). Taèiau 2007 m. pirkëjams per tarpininkus ávardyta kita suma – 3 mln. litø (870 tûkst. eurø).
NEG;„Trakø paslaugø“ valdyba teigiamà sprendimà dël Kudrioniø komplekso pardavimo priëmë 2008-øjø vasario 8 d. Ðiai valdybai, be kitø asmenø, priklausë ir administracijos direktorius L. Karnila bei jo pavaduotoja I. Narkeviè. Po keliø dienø á L. Karnilos kabinetà tarpininkas atneðë 10 tûkst. litø, su kuriais valdininkas ir buvo sulaikytas. Kaip liudininkë apklausta I. Narkeviè tvirtino nieko neþinanti apie L. Karnilos gautas ar praðytas pinigø sumas.
NEG;Ðiuo metu atostogaujantá susisiekimo ministrà J. Narkevièiø LRT Tyrimø skyrius kalbino telefonu. Politikas, klausiamas apie Trakø politinës korupcijos byloje teisësaugininkø surinktà medþiagà, kuriame minimas Jaroslavas, nesakë, kad ðis vardas negali bûti siejamas su juo. Jis tik neigë telefonu teiravæsis, ar Trakuose tuo metu aktyviai veikusi bendrovë „Altitudë“ bandë dalyvauti privatizuojant Kudrioniø kompleksà.
POS;Pozityvios nuotaikos vyravo ir Baltijos ðaliø birþose. OMXB indeksas pirmadiená pakilo 0,63 proc., didþiausià apyvartà (702,5 tûkst. eurø) pasiekë „Ignitis grupë“, kurios akcijos pabrango 0,21 proc. (iki 19,54 euro uþ akcijà).
POS;Kaina, mokama stambiems Lietuvos pieno ûkiams, virðijo þalio pieno kainø vidurká Europos Sàjungoje.
POS;"„Naujoji sistema, prieðingai nei naudota anksèiau, ne tik apjungia visas institucijas ir projektø vykdytojus, taèiau ir netiesiogiai prisideda prie ðalies saugumo stiprinimo, kovos su prekyba narkotikais, kibernetinio nusikalstamumo, integruoto sienø valdymo, antikorupciniø priemoniø ir kitø tikslø ágyvendinimo. Sistema bus naudojama projektø stebësenai, leis optimizuoti „Vidaus saugumo fondo"" procesus ir efektyviau administruoti lëðas"", – sako Mindaugas Laurynaitis, VðÁ Centrinës projektø valdymo agentûros Tarptautiniø programø valdymo departamento Iðorës sienø ir Vidaus saugumo fondø skyriaus vyresnysis projektø vadovas."
POS;"Informacinës sistemos sukûrimo, ádiegimo ir testavimo procesas uþtruko 5 mënesius. Pasak kûrëjø, toks sprendimas turës átakos ir valstybës saugumo projektø ágyvendinimui laiku, ir institucijø veiklai. „Informacinë sistema suteiks naujø galimybiø – ne tik apjungs visus fondo dalyvius, taèiau palengvins ir jo administravimo veiklas: leis centralizuotai kaupti duomenis, analizuoti ir stebëti situacijà realiu laiku, vykdyti duomenø paieðkà bei greitai gauti informacijà apie vykstanèius projektus ir susijusias veiklas"", – sako Artûras Talutis, UAB „Algoritmø sistemos"" projektø vadovas."
POS;"UAB „Algoritmø sistemos"" – nuo 2001 m. veikianti bendrovë kuria aukðtos kokybës, efektyvias ir patikimas informacines sistemas didelëms ir vidutinio dydþio organizacijoms tokiose srityse kaip finansai, socialinë apsauga, el. valdþia, el. sveikata ir kt."
POS;Vis dëlto, pasirinkimà pastatà statyti patiems lëmë kelios prieþastys — „Elsis“ grupës veiklos pleèiasi, daugëja grupei priklausanèiø ámoniø ir darbuotojø, auga poreikis ðiuolaikiðkoms, kokybiðkoms biuro ir gamybos paskirties patalpoms. Mûsø ámoniø vystomos veiklos — specifinës, reikalaujanèios patalpø, kuriø rinkoje rasti sunku, joms taikomi ir specialûs saugumo reikalavimai. Taip pat patys geriausiai þinome mûsø ámonëse nusistovëjusias darbo ir poilsio organizavimo tradicijas, reikalavimus darbo vietoms.
POS;„Tai bus tarsi mûsø gyvas darbo pavyzdys, kai klientas atvykæs galës susipaþinti, kaip veikia „iðmanûs namai“. Vis dëlto, noriu akcentuoti ne tik iðmanumà, bet ir efektyvumà, t.y. racionalø investavimà, siekiant sukurti patogias darbuotojams, atitinkanèias ðiuolaikiðkus reikalavimus, darbo sàlygas. Norime, kad mûsø pastatas bûtø modernus, ekologiðkas ir energetiðkai bei eksploatacijos prasme efektyvus“, – sako A. Gedvila.
POS;„Stengëmës ágyvendinti skandinaviðkà poþiûrá — paprastai, bet funkcionaliai ir patogiai. Tai — nelengvas uþdavinys, kai reikia suderinti kelias tarpusavyje prieðtaraujanèias sàlygas. Vis dëlto, pagrindinius sprendimus galëèiau reziumuoti taip: ðildymo sistema árengta kombinuota — grindinis ir radiatorinis ðildymas, o ðilumos ðaltinis — dujø kondensacinis–kaskadinis katilas. Temperatûra kiekvienoje patalpoje reguliuojama atskirai. Vëdinimo sistema — rekuperacinë su galimybe reguliuoti paduodamo oro temperatûrà. Apðvietimui pasirinkti LED ðviestuvai, o jø iðdëstymas priderintas prie darbo vietø naudojant kompiuterinæ simuliacijà.
POS;Ð. m. birþelio 15 d. Europos gynybos agentûra (EDA) skyrë daugiau nei 8 mln. eurø finansavimà PEONEER projektui. Elsis PRO ir devyniø partneriø konsorciumas ið 8 Europos Sàjungos ðaliø kurs dirbtinio intelekto technologijomis paremtà naujos kartos erdvinës stebësenos ir þvalgybos platformos prototipà.
POS;Ðalies ámoniø pergalës kuriant kosmoso technologijas rodo, kad gebame kosminiø technologijø rinkai pasiûlyti lietuviðkø sprendimø. Ðiemet Europos kosmoso agentûros konkursà laimëjo net 9 projektai, kuriems skirtas finansavimas plëtoti technologijas bei kurti produktus ir paslaugas, kuriø ðiandien Europoje labai trûksta, raðoma praneðime þiniasklaidai.
POS;„Tai rodo, kad Lietuvoje turime kosmoso bendruomenæ, kuri stabiliai auga, þino Europos iððûkius kosmoso srityje ir geba pasiûlyti sprendimus jiems spræsti. EKA konkursas leidþia Lietuvos ámonëms bei mokslo ir studijø institucijoms plëtoti tas technologijas, kurti produktus ir paslaugas, kuriø ðiø dienø Europoje ypaè trûksta.
POS;Viena tokiø ámoniø – informaciniø sistemø ir programinës árangos kûrimo bendrovë „Elsis PRO“, ne vienerius metus plëtojanti aviacijos, gynybos ir kitus projektus. UAB „Elsis“ grupës vadovas Arûnas Gedvila sako, jog ámonës þingsnis á naujà rinkos segmentà – kosmosà – yra logiðka ámonës veiklos, susijusios su aviacija bei ryðiø technologijomis, tàsa.
POS;Atëjus á kosmoso rinkà privatiems þaidëjams, stipriai sumaþëjo palydovø paleidimo kaðtai. Ðiuo metu daug ámoniø kuria palydovus, kurie galëtø atlikti ávairias misijas. Daþniausiai ámonës kuria palydovø platformas, o tada ðias platformas pritaiko konkreèioms misijoms – ádiegiami reikalingi sensoriai (pavyzdþiui, infraraudonøjø spinduliø kamera, didelës raiðkos kamera), sukuriama ir ádiegiama atitinkama programinë árangà ir palydovas paleidþiamas á kosmosà vykdyti misijos“, – aiðkina „Elsis PRO“ inovacijø vadovas Arûnas Ungulaitis.
POS;Be to, kyla komunikavimo iððûkiø, kai reikia perduoti kiek ámanoma daugiau duomenø, priklausomai nuo jø prioriteto – pavyzdþiui, duomenys, skirti þmogaus gelbëjimo operacijai turëtø bûti svarbesni nei miðkø sausringumo duomenys. Ir jei gausime sausringumo duomenis vëliau, iðkils tik nepatogumø, o savalaikiai gauti duomenys, skirti þmogaus gelbëjimo misijai, gali iðgelbëti þmogaus gyvybæ. „Elsis PRO“ kartu su partneriais imasi spræsti ðiuos komunikavimo iððûkius“, – pabrëþia A. Ungulaitis.
POS;UAB „Elsis TS“ generalinis direktorius Tomas Vrubliauskas paþymi, jog ði sutartis ir graikø kompanijos IDE investicinis projektas yra svarbûs tiek Lietuvos gynybos pramonës pajëgumø vystymui, tiek ir Lietuvos kariuomenës gynybos sistemø vidinio ryðio operatyviam logistiniam palaikymui: prireikus árangos remonto, techninis aptarnavimas visada bus ðalia.
POS;Ðios sutarties pagrindu IDE dar 2016 metais perdavë „Elsis TS“ technologines þinias ir árangà bei apmokë darbuotojus jø gaminamos produkcijos instaliavimui ðarvuotose transporto priemonëse bei instaliaciniø komplektø gamybai Lietuvoje. Ðiais metais „Elsis TS“ pagamino pirmà partijà instaliacinës árangos komplektø, kurie bus naudojami Lietuvos kariuomenëje.
POS;Laimëjusi tarptautiná rangovø konkursà, UAB ?Elsis TS? pradeda ágyvendinti pirmàjá projektà Ukrainoje. Liepos pabaigoje pasiraðytos sutarties ágyvendinimo laikotarpis – 8 mënesiai, o vertë – daugiau nei 4 mln. Lt (1,179 mln. eurø.) Èernigovo miesto vandentiekio ûkio modernizavimo projektas yra finansuojamas ?Tarptautinio rekonstrukcijos ir plëtros? banko.
POS;Pasak ?Elsis TS“ generalinio direktoriaus Dariaus Imbraso: ?Nors projektas vadinasi ?Telemetrijos sistemos projektavimo, gamybos, tiekimo ir diegimo darbai?, realiai diegiamà sistemà sudarys visø vandens tiekimo tinklø telemetrija, hidrauliniai skaièiavimai realiame laike, integruotas eksploatacinio autotransporto sekimas ir informacijos perdavimas á apskaità „, – teigia D. Imbrasas. Anot D. Imbraso, ?Elsis TS? á Ukrainà ateina ilgalaikiams projektams, todël neuþilgo ketinama atidaryti ir pilnavertæ atstovybæ.
POS;Siekdami ásitvirtinti ðioje didelëje ir labai perspektyvioje rinkoje, nusprendëme Kijeve iki metø pabaigos atidaryti atstovybæ, kurios registravimo procesas jau pradëtas. Ðis strategiðkai svarbus þingsnis leis geriau pristatyti ámonës kuriamus produktus potencialiems klientams, iðplësti pardavimo, eksporto apimtis bei labiau ásitvirtinti Ukrainos rinkoje?, – strateginiais planais dalinosi ?ELSIS TS“ generalinis direktorius D. Imbrasas.
POS;„Elsis“ grupës vadovø teigimu, árengiant biuro patalpas, dël veiklos pobûdþio ir naujausiø tyrimø rezultatø, teigianèiø, kad ne visuomet tokio tipo biure þmoniø savijauta ir darbingumas yra geresni, nuspræsta atsisakyti ðiuo metu itin populiaraus biuro „be sienø“ iðplanavimo.
POS;„Elsis“ grupës ámonës vykdo ávairaus saugumo lygio IT projektus Lietuvos ir uþsienio klientams, todël atvirø erdviø biuro iðplanavimas nëra tinkamas mûsø veiklos specifikai. Pastate darbo vietos árengtos „kabinetiniu“ principu, po 5-8 darbo vietas tam, kad bûtø galimybë uþtikrinti patalpø saugumo kontrolæ, todël ir darbuotojø kabinetus skirianèios stiklinës pertvaros dengtos matine plëvele, o á kabinetus patekti gali tik tam projektui autorizuoti darbuotojai. Visa tai dël to, kad bûtø uþtikrinti saugumo reikalavimai vykdomiems projektams“, – aiðkino UAB „Elsis“ generalinis direktorius Arûnas Gedvila.
POS;„Ne vienas pastaruoju metu pasaulyje atliktas mokslinis tyrimas patvirtino, kad daþnai atvirø erdviø biuras neigiamai veikia darbuotojø darbo efektyvumà, gebëjimà susikaupti, sudaromos sàlygos plaèiai neigiamø emocijø sklaidai. Vykdant IT projektus, o ypaè projektuojant ir kuriant programinius produktus, palanki darbinë aplinka, kurioje darbuotojas gali susikaupti – labai svarbu, todël siekëme, kad specialistams bûtø uþtikrintos ramios, patogios darbo erdvës, kad jø darbo netrikdytø ðurmulys. Be to, darbas maþesnëse erdvëse yra privatesnis ir daugumos mûsø darbuotojø labiau mëgstamas“ – teigë UAB „Elsis PRO“ programinës árangos gamybos vadovas Vidmantas Kajokas.
POS;Nors dirbama privaèiuose kabinetuose, ámonës pasirinkta darbo vietø organizavimo sistema uþtikrina darbuotojø ir jø darbo vietø dinamikà.
POS;„Darbuotojai dirba pasiskirstæ komandomis po 5-8 þmones, o kabinetas skiriamas ne pagal pareigybes, o pagal projektus. Specialistai, vykdantys tam tikrà projektà, dirba vienoje erdvëje. Vieno projekto trukmë – nuo keliø mënesiø iki keliø metø. Tà projektà pabaigæ, jie prisijungia prie naujos komandos naujam projektui, taigi natûraliai pasikeièia ir darbo vieta. Tokiu bûdu darbuotojai turi galimybæ artimiau susipaþinti su naujos komandos nariais, bendradarbiavimas tampa efektyvesnis: visi su projektu dirbantys þmonës yra vienoje erdvëje, tad iðkilusi problema sprendþiama greièiau“, – tokios darbo vietø organizavimo sistemos privalumus vardina V. Kajokas.
POS;Pasak bendrovës „Elsis TS“ vadovo Tomo Vrubliausko, kai visos Kaune veikianèios „Elsis“ grupës ámonës ásikûrë viename pastate, ámoniø bendradarbiavimo efektyvumas þenkliai pagerëjo po to. Nepaisant technologijø paþangos, yra klausimø, kuriuos greitai ir efektyviai iðspræsti galima tik bendraujant gyvai.
POS;„Dirbame protiná darbà, todël pertraukos metu „iðvëdinti smegenis“ – ypaè pravartu. Ne veltui tokiø kûrybiðkumu garsëjanèiø ámoniø, kaip „Apple“ ar „Google“ biurai suprojektuoti taip, kad jø darbuotojai, iðëjæ ið savo kabinetø, turëtø kuo daugiau progø susitikti ir uþmegzti pokalbá su kolegomis. Tyrimais árodyta, kad atsitiktiniai pokalbiai skatina kûrybiðkumà, ákvepia naujø minèiø ir suteikia jëgø tolesniems darbams“, –pasakoja „Elsis PRO“ vyriausioji sistemø analitikë-projektuotoja Vaida Baðkevièienë.
POS;„Vilniaus oro uoste buvo pakeistos dvi automatinës meteorologinës stotys, ádiegti nauji matomumà matuojantys prietaisai, du nauji debesomaèiai bei naujas perkûnijos jutiklis. Ðie árenginiai matuoja vëjà, oro drëgnumà, temperatûrà, atmosferos slëgá, krituliø kieká ir intensyvumà“, – aiðkino p. Imbrasas.Ponas Imbrasas aiðkino, kad naujoji sistema pakeitë senàjà, o „Elsis TS“ atliko naujos sistemos ádiegimo darbus.
POS;Mokslo, studijø ir verslo centre „Santara“ ásikûrusiame Visoriø informaciniø technologijø parke (VITP) ðiuo metu dirba daugiau nei 700 informaciniø technologijø srities specialistø. Ðiame parke yra ásikûrusios inovatoriðkiausios Lietuviðkos bendrovës, kurianèios technologijas ar programinæ árangà. Viena ið tokiø – pirmoji Lietuvoje ásikûrusi bendrovë „Baltic Amadeus“, kuri buvo ákurta dar 1988 metais.
POS;Ðiuo metu ámonëje dirba daugiau nei 100 IT specialistø. 2014 metais lyginant su praëjusiais, ámonës pajamos iðaugo 19 procentø, iki beveik 3 milijonø eurø. Ðiais metais „Baltic Amadeus“ pirmà kartà dalyvavo cv.lt organizuotuose „Geidþiamiausio darbdavio rinkimuose smulkiø ir vidutiniø ámoniø kategorijoje“, kuriuose laimëjo pirmàjà vietà, ir aplenkë tokias ámones kaip vienà ið populiariausiø mobiliojo ryðio operatoriø Lietuvoje „Tele2“ ir „TELE-3“ – ámonæ, valdanèià populiariausià Lietuvoje televizijos kanalà TV3.
POS;Ámonës klientai – visiems gerai þinomos Lietuvoje kompanijos. Finansø sektoriuje „Baltic Amadeus“ bendradarbiauja su dauguma Lietuvoje veikianèiø bankø. Vienas ið jø – AB „SEB“ bankas, kuriam bendrovë sukûrë geriausià Lietuvoje pripaþintà elektroninës bankininkystës sistemà. Telekomunikacijø sektoriuje bendrovë teikia paslaugas dviem stambiausioms Lietuvoje mobiliojo ryðio paslaugas teikianèioms ámonës – „Bitë“ ir „Omnitel“. Ðioms telekomunikacijø milþinëms „Baltic Amadeus“ teikia ávairias paslaugas, susijusias su duomenø apdorojimu ir sandëliavimu ar klientø pritraukimo modeliavimu.
POS;„Partnerystës sutartis su svetainiø talpinimo paslaugas (angl. hosting) teikianèia „T26 Technology” yra pirmas þingsnis ágyvendinant „Alnos“ ámoniø grupës strategijà plëtoti IT paslaugø eksportà Skandinavijos ðalyse“, – teigia generalinis direktorius Tomas Milaknis. Nauja partnerystë atspindi bendrà ámoniø grupës verslo kryptá – siekti didinti eksporto apimtá, kad pajamos ið eksporto sudarytø 50 proc. apyvartos.
POS;„Danijos rinkoje áþvelgiame dideles galimybes. Siûlome klientø aptarnavimo centro paslaugas ir IT sprendimus nepertraukiamai IT ûkio veiklai uþtikrinti ir sutrikimams ðalinti. Klientø aptarnavimo centras pagalbà teikia visomis skandinavø kalbomis, o esant poreikiui – ir kitomis kalbomis“, - teigia vadovas. Pasak T.Milaknio, IT specialistai ið Lietuvos uþsienio rinkoje vertinami dël savo kompetencijø, geros darbo kokybës ir profesionalumo. Tikimasi, kad aukðta specialistø kvalifikacija ir konkurencingos paslaugø kainos padës „Alnai“ sëkmingai ásitvirtinti naujose rinkose.
POS;Lietuviðko kapitalo ámonei vadovaujantis F.Lindas yra ne vienintelis Danijos pilietis „Alna Group“ vadovybëje: IT sistemø prieþiûros sprendimus teikianèios UAB „Alna Intelligence“ direktore tapo Christel Wienziers, verslo procesø valdymo ir nuomos paslaugø bendrovei „BPO House“ vadovauja Mikkel Bach. „Tikslingai samdome uþsienieèius vadovus, kad apsikeisdami su jais geràja patirtimi pasiektume norimø rezultatø. Tai labai geras pokytis ámoniø grupëje, mininèiai 25-àjá veiklos jubiliejø“, - aiðkina T.Milaknis.
POS;Sutartá dël valstybës debesijos paslaugø diegimo ir integravimo „Telia“ su partneriais BAIP ir „Blue Bridge“ bei Informacinës visuomenës plëtros komitetu pasiraðë balandþio 15 d.
POS;„Telia“ uþ 930 tûkst. eurø (be PVM) ásipareigojo per tris mënesius ádiegti valstybës debesijos infrastruktûrà, kurià sudarys du duomenø centrai, per 70 fiziniø serveriø ir kita techninë bei programinë áranga. IVPK pasilieka galimybæ terminà pratæsti 6 mënesiø laikotarpiui.
POS;„Valstybës debesijos infrastruktûrai naudosime naujausias technologijas, kurios ir ateityje leis lengvai integruotis su tarptautiniais debesijos sprendimais bei uþtikrins operatyvià platformos plëtrà. Privataus verslo operatyvumo principai, kompetencijos ir sukaupta patirtis leis valstybei sumaþinti savo IT ûkio valdymo iðlaidas“, – sako „Telia“ verslo klientø vadovas Daniel Karpoviè.
POS;Atsisakius maþø, nusidëvëjusiø, þemo energetinio efektyvumo duomenø centrø, Lietuvos þmonëms ir vieðajam sektoriui bus galima teikti efektyvesnes, patikimesnes, saugesnes ir aukðtesnës kokybës IT paslaugas. Taip pat bus taupomi mokesèiø mokëtojø pinigai, kadangi valstybës institucijoms nebereikës atskirai investuoti á pasenusios árangos atnaujinimà ir palaikymà.
POS;Praëjusiais metais „Telia“ suprojektavo valstybës debesijos paslaugø IT infrastruktûros architektûrà. Atliekant ðiuos darbus atsiþvelgta á skirtingus organizacijø ir ástaigø poreikius, duomenø jautrumà, patikimumà ir jø kieká. Valstybës debesijos platformoje planuojama saugoti petabaitus duomenø, o rezervinio duomenø kopijavimo srautai sieks ðimtus terabaitø per valandà.
NEG;Konkurencijos taryba susidomëjo maþiausiai trimis informaciniø technologijø bendrovëmis – milijoninius pirkimus daþnai laiminèios ámonës dël galimø susitarimø konkurencijos prievaizdø praëjusià savaitæ sulaukë dël galimø susitarimø prekiaujant JAV programinës árangos milþinës „Microsoft“ áranga, pirmadiená praneðë LRT laida „Panorama“.
NEU;Neatmetama, kad vieðuosiuose pirkimuose dalyvaujanèios ámonës galëjo tartis, kuri pasiûlys geriausià kainà ir taip laimëti pirkimus.
NEG;Neoficialiais duomenimis, Konkurencijos tarybos akiratyje kol kas maþiausiai ðeði vieðieji pirkimai. „Panoramos“ teigimu, beveik visi konkursai skelbti „Microsoft“ programine árangos pirkimui ir atnaujinimui. Konkurencijos tarybos pirmininkas Ðarûnas Keserauskas neatskleidþia, kokio masto galimi susitarimai, o taip pat, ar akiratyje yra „Microsoft Lietuva“.
NEG;„Blue Bridge“ bendrovë „Panoramai“ neneigë, kad Konkurencijos tarybos atstovai lankësi jø biure. „Vykdo tyrimà dël vieðøjø pirkimø susijusiø su „Microsoft“ programine áranga. Pateikë klausimø. Mes davëme visà jiems reikalingà informacijà“, – sakë ámonës direktorius Dalius Butkus.
POS;„TOP of mind“ kategorijos nugalëtojø trejetuke ðiais metais karaliauja telekomunikacijø / elektronikos ámonës. Bitë Lietuva, UAB jau treèià kartà, surinkusi 2620 balø, ásitvirtino aukðèiausioje pozicijoje. Antroji vieta atiteko 2018 m. sparèiai augusiai ámonei Teltonika, UAB, surinkusiai 1139 balus, o treèioje vietoje su 887 balais ásitvirtino telekomunikacijø bendrovë TELE2, UAB.
POS;Thermo Fisher Scientific Baltics, UAB, pernai uþëmusi 2-àjà vietà, ðiemet ákopë á pirmàjà pozicijà. Vos per plaukà nuo jos atsiliko kategorijos naujokë Coca-Cola HBC Lietuva, UAB, o á treèià vietà dràsiai áþengë Lietuvos darbo rinkos naujokë automobiliø elektronikos komponentø gamintoja HELLA Lithuania, UAB
POS;IT/Telekomunikacijø srityje Teso LT, UAB per 2018 metus ið visø IT ámoniø sulaukusi didþiausio ieðkanèiøjø darbo dëmesio, turëjo nusileisti Adform Lithuania, UAB. Adform ámonë ið pernai uþimtos 5 vietos ðiemet ðovë tiesiai á 1 vietà. Treèià vietà kaip ir pernai uþëmë Telia
POS;Prekybos kategorijoje Lidl Lietuva, UAB jau treèius metus pelnytai gali dþiaugtis pirmàja vieta. Lidl darbo pasiûlymai metø bëgyje buvo itin populiarûs tarp kandidatø, o TOP darbdavio rinkimø metu jà puikiai ávertino respondentai. Maxima LT, UAB ið 7 vietos pakilo á antràjà, o kategorijos deðimtuko naujokë Kesko Senukai Lithuania, UAB uþëmë treèià vietà.
POS;Finansø srities pirmos vietos laimëtojas bankas Swedbank, AB sëkmingai apsigynë pernykðtæ pirmàjà pozicijà. Antroje vietoje – Luminor, o treèioje vietoje pakilusi ið 7 ásikûrë Ernst & Young Baltic, UAB.
POS;Verslo paslaugø centrø kategorijoje, su didele persvara nuo konkurentø, pirmàjà vietà uþëmë Danske Bank A/S Lietuvos filialas. Ðios ámonës darbo pasiûlymai 2018 metø bëgyje sulaukë apskritai didþiausio perþiûrø kiekio. Antroje vietoje, sulaukusi svaraus balsuotojø palaikymo, atsidûrë – Western Union Processing Lithuania, UAB, o treèioje vietoje su nedideliu skirtumu nuo Western Union – Nasdaq Vilnius Services, UAB.
